Found_Cps,Covering,F1,Time
[1298 1608 2920 3759 4083 4435 4961 6454],0.8414239260475465,0.6666666666666667,8.096856355667114
[ 778 1174 2061 3681 4851 5308 6863 7342],0.8467173447553525,0.75,7.307337284088135
[1151 1565 2051 2846 3626 4043 4364],0.8064516711413893,0.5714285714285715,3.1672282218933105
[ 702 1510 2033 2455 2863 3765],0.774562980467385,0.6153846153846153,2.7470264434814453
[1456 3028 4694 5326 6750 7723],0.8459352501383587,0.7692307692307692,7.839258670806885
[1573],0.7845566559463665,0.4,1.0831127166748047
[1425 1947 3461 4343 4858 5190 6376],0.8242787036072311,0.7142857142857143,7.148714542388916
[1531 5286 5834],0.5145836924454006,0.4444444444444445,3.176368236541748
[1179 2343 2801 3574 4063],0.7952436702992757,0.3636363636363636,2.656735897064209
[ 455  788 2109 2749 4032 5188],0.8091634596816799,0.8571428571428571,4.303143501281738
[1177],0.4620523923207082,0.3333333333333333,2.9119303226470947
[1499 1923],0.9850805908224719,1.0,1.377380609512329
[ 495 1079 1402 3121 4587],0.8334392030768476,0.6,8.168134689331055
[ 575 1049 1419],0.3475140249518546,0.25,1.8361423015594482
[ 661 1401 1744 2194 2845 3251 4047],0.6703471631019298,0.6666666666666666,4.038816452026367
[ 578 1560 2167 3098 3881],0.7468543573597424,0.3636363636363636,2.3261773586273193
[ 699 2235 2717 3669 3965],0.8641781808532051,0.7272727272727272,2.040393352508545
[1383],0.42998536437462614,0.5714285714285715,2.143427848815918
[1574 3435],0.7893524830737264,0.5714285714285715,2.2463924884796143
[1467 2087 2838 3250],0.7533366075265517,0.7499999999999999,2.008655071258545
[ 353 1579 2364 3142 3477],0.6729361389552261,0.6666666666666666,2.4582679271698
[ 505 1390 2089 3422],0.8759193923909094,0.888888888888889,2.422823190689087
[ 771 1182 1815 2373 3260 3805],0.6584270487260151,0.5454545454545454,2.19372296333313
[ 694 1414 1831],0.7124458937125627,0.5714285714285715,1.20926833152771
[ 608 1246 1755 2271],0.9540606810243472,0.8000000000000002,1.6095120906829834
[ 498 1176 1744],0.9542481818178861,0.75,1.208486557006836
[ 354  866 1201 1562 2048 2563 3559 4020 4427],0.6467207150949709,0.6666666666666666,3.902523994445801
[ 542 1114 1652 3530 3841 5025],0.5508284941254746,0.3333333333333333,3.036846399307251
[  535  1462  2742  3437  4233  5751  6801  7206  7860  8855 10094],0.7856861546789699,0.8,12.678269863128662
[ 1373  2221  2928  3775  4553  4989  6412  6830  7195  7641  8619  9559 10008],0.7606600210656053,0.8333333333333333,14.574549913406372
[4336 5823],0.5246392023308273,0.6,5.898128271102905
[1710 3494 5253 5764 6844],0.8183032851160712,0.4615384615384615,8.711259841918945
[ 370 1462 3528 4078 4470 4969 6381 7267],0.6454970766575888,0.6666666666666667,12.833202600479126
[ 438 1507 2059 2571 2995 4366 4825 5319 6378],0.7433983809923879,0.7499999999999999,6.456589937210083
[1240 2173 4466],0.6746475031022331,0.7272727272727273,2.9854605197906494
[ 290  575 2802],0.466781652921053,0.4444444444444445,1.27662992477417
[1117 1554 5917 7449 8955],0.6477425043073053,0.6153846153846153,10.86403775215149
[  867  1441  2513  2986  4635  6014  6573  7166  7562  8149  9359 10941 12267 13735],0.8052812963328966,0.7692307692307692,36.16144323348999
[ 390 1329 2193 8567],0.3194166403948773,0.23529411764705882,14.277867794036865
[1483 3186 4448 5795 7469 8158 8678 9005],0.8552005254384549,0.75,11.613077640533447
[2072 2983 3530 3962 4498 5159],0.652701901218741,0.18181818181818182,5.108710050582886
[5332],0.4104288953094842,0.28571428571428575,2.769714117050171
[4629 5739 6342 7449],0.36057739275856454,0.22222222222222224,4.479278564453125
[2079],0.6740955441911914,0.5,1.1392788887023926
[2011 2980 3432 3791 4222],0.29369107309857423,0.26666666666666666,13.499817609786987
[ 6006  6376  7089  7550  8752 10456 11088 11920 12675 13176],0.36914540262356743,0.4444444444444444,12.341438293457031
[1635 3534],0.5316077217244969,0.4,2.433041572570801
[ 812 1759 5071 6397 7201 8117],0.4684801968312697,0.2,10.73684048652649
[1303 2028 4181],0.4710630658366935,0.28571428571428575,2.784553289413452
[1282 1961 2602],0.4686230415049122,0.3333333333333333,2.6367101669311523
[ 981 2274 4446 6294],0.492129787741697,0.25,6.849091529846191
[1636 3014 3684 4209],0.47904434095970844,0.5714285714285715,2.8266847133636475
[1633 2406 4152 7159 7590 8209 9263],0.6503068284261713,0.14285714285714288,11.364076137542725
[  613  1669  2495  2859  3255  5193  5811  6220  6842  7297  9195  9696 10680 11715 12264 12754 13789],0.43466988291397374,0.24,22.14552116394043
[ 432 1928 3583],0.45675625188147767,0.28571428571428575,2.41774320602417
[ 2813  3857  4608  5136  6639  7796  8131  8858 10427],0.6183680825645989,0.26666666666666666,9.576951742172241
[ 350 2050 4656 6182 6679],0.6064532116007061,0.5,7.151155471801758
[  499  5595  6527  7635  8131  9653 10110 10632 11255 11673],0.41960162944112683,0.12500000000000003,11.308061838150024
[  914  1365  2213  2788  4087  4427  5752  6938  7458  8636  9316 10053 10838 11231 13188 14742 15943],0.6456176040989142,0.6666666666666666,36.73458695411682
[1537 2024 2360 3123 5196 6754],0.7503142078240458,0.5333333333333333,6.836895227432251
[ 1674  2591  3376  4265  4846  5894  7112  8036  8971  9366 10722],0.6250324950564645,0.5263157894736842,12.92143702507019
[2303],0.9983367289725817,1.0,1.1192388534545898
[2295 2923 3238 4721 5811 6235],0.6294023360098452,0.2,3.5669779777526855
[ 519 1084 1857 3251 4153],0.6593317910968224,0.4444444444444444,2.1814310550689697
[4085 4826],0.9727365564232614,0.6666666666666666,2.35467267036438
[],0.379102651793852,0.5,0.3938465118408203
[1050 1528 1946],0.8011982642753118,0.5714285714285715,1.0876848697662354
[ 325 1768 2430],0.615963495284677,0.3333333333333333,1.863269567489624
[1844 3364],0.6755563001860886,0.6666666666666666,1.9317905902862549
[3321 4835],0.9417597521174917,0.6666666666666666,2.727787971496582
[1940 2427 3167 3741 7237 7803],0.7825160673037488,0.36363636363636365,6.044322967529297
[2671 3146 4063 4794 5430],0.6965899755811555,0.4,2.674405097961426
[ 940 3283 3845 5357],0.8018863009741735,0.888888888888889,3.0781147480010986
[ 987 1486 1902],0.7750004337424035,0.28571428571428575,1.0702416896820068
[],0.39571771858571353,0.5,0.5169165134429932
[ 414  761 1114 1611 2878 3393 3699 4394],0.5374311445758368,0.15384615384615383,3.470794200897217
[2752 3379 4342 4623 6406],0.8265183403487673,0.2222222222222222,5.248126268386841
[ 896 2157 3604 4054 5426],0.5096436519004387,0.5454545454545454,6.287144184112549
[3273 3760 4614 6215],0.6386150651460643,0.4444444444444445,4.0939695835113525
[1530],0.9714853978466104,0.5,0.7643876075744629
[1266 2589],0.8945987684516653,0.6666666666666666,1.6993701457977295
[1081 1414 2437 3551 4083 4536 5467 5824 6424 8010],0.5277227860289613,0.25000000000000006,7.0365681648254395
[ 513 1787 2193 2538 3142],0.3209602576041482,0.25,1.6455557346343994
[  878  1886  2236  3415  6307  7794  9486  9931 10662 11166],0.808711961522212,0.4444444444444444,15.672553539276123
[ 976 4156 4858 5717 7242],0.7799018459950448,0.6666666666666666,5.145317554473877
[ 964 3130 3843 4246 4844 5802 6478 7066],0.6851464984701857,0.26666666666666666,6.252506732940674
[ 741 2598 4103 5458],0.6405436376742109,0.25,3.2790679931640625
[1011 1744 2223],0.6574029649386371,0.6666666666666666,1.604769229888916
[ 766 1547 3267],0.6334899197494618,0.6666666666666666,2.0091450214385986
[1336 2100 3244 4248],0.48165487064404033,0.28571428571428575,2.398237705230713
[1767],0.9931167555337541,1.0,1.1806533336639404
[],1.0,1.0,0.5768983364105225
[945],0.9797068756207924,0.5,0.6699838638305664
[],0.6031963510372352,0.6666666666666666,0.30437397956848145
[],0.621494331731315,0.6666666666666666,0.309276819229126
[],1.0,1.0,0.15488409996032715
[],1.0,1.0,0.28118276596069336
[  653  1520  2251  2803  4344  5386  5835  6933 10232 11738 13216],0.6934370913854795,0.5263157894736842,15.563027381896973
[ 816 2437 3655 4016],0.8123692343354108,0.5,3.6126368045806885
[1061 3626 4793 6165 6531],0.7735220644839421,0.4,4.45443868637085
[],1.0,1.0,0.26423001289367676
[3067 3536],0.8831103525899774,0.8,1.4832024574279785
[],1.0,1.0,0.20854592323303223
[1962 3042],0.5976516676510282,0.5,1.2112231254577637
[ 349 1780 3219],0.827809300872289,0.5714285714285715,1.8966381549835205
[1262 2308 3338 6418 6791 7456 7846],0.8002704410573668,0.6153846153846154,8.838314771652222
[3578 4891 6187 6754],0.8765212278145316,0.6666666666666665,3.405275583267212
[  746  6697  8131  9310 11654 14473],0.733654590060201,0.8333333333333333,18.17347288131714
[ 822 1913 2510 7302 7744 9188],0.889214052916054,0.6666666666666666,23.82103204727173
[  416  4222  4632  5401 11938 12532 12942],0.8406682616649985,0.6153846153846154,12.082419872283936
[],0.3694196369283935,0.5,0.2554316520690918
[2931],0.9906057086416139,1.0,1.4370639324188232
[ 816 1959 2950],0.7513706669250912,0.8571428571428571,1.5519022941589355
[ 1162  2172  3288  4035  6663  8286  9202 11429 11828 13124],0.36178668095527217,0.28571428571428575,12.644441843032837
[ 450 1664],0.9077562019307232,0.6666666666666666,0.8903441429138184
[ 440  981 2146 2629 3641 4166 6158],0.5414285714285715,0.36363636363636365,5.119481325149536
[8425],0.899196512312191,0.8,4.133384943008423
[ 878 4177],0.9915042352484795,1.0,3.5502078533172607
[],1.0,1.0,0.08601117134094238
[1075 1480 2011 2742 3528 4745],0.2288024064673811,0.25,3.604219675064087
[ 844 1286],0.6383370443084161,0.7499999999999999,1.2114741802215576
[ 3071  4566  6302  6844  7604  8101  8632 14757 15515 17886 18526 24933],0.7989015117327843,0.8181818181818181,35.47457575798035
[  533  1079  1681  2349  4773 16583 18828 19339 21268 22444 23458 24285 25930 26355 26934 28739 30627 31103],0.6627827340133046,0.6206896551724138,56.472551345825195
[ 840 1507 2207],0.9089605464529762,0.25,1.213754653930664
[ 747 1346 2298 2728 3519 4872 5665 6303],0.51926116596563,0.26666666666666666,5.490454196929932
[ 420  949 2843 3346 5169 6679 7521 7945 8495 8928 9421 9999],0.6347802993400817,0.7000000000000001,13.87588357925415
[ 7782  9369 10051 10482 10943 11712 18102 18667 19275 19834 20272 21005 21564],0.782630124910276,0.6363636363636364,29.833797454833984
[],1.0,1.0,0.09526348114013672
[1014 1478 2736],0.53233297866655,0.3333333333333333,1.7229721546173096
[ 533  945 1335 1806],0.5150476190476191,0.28571428571428575,1.328538417816162
[1317],0.5308497273417546,0.5,0.9725017547607422
[1236 3907 5122],0.5604061354943968,0.3333333333333333,2.164634943008423
[1106],0.9496266799402687,0.5,0.36110591888427734
[1002 1410 3720 4272 5503 6229 7546],0.741640656136349,0.3333333333333333,11.8640775680542
[ 1408  2834  3247  4792  5359  6372  8410 10449 14457],0.6869184633847069,0.6666666666666666,16.29972815513611
[945],0.7350665936872833,0.4,0.3598318099975586
[  978  3812  4267  4789  5248  6943  7348  7815  9084 10195 12484 13349 15178 15607 16152],0.6000228085285917,0.6153846153846154,21.556941032409668
[  430  1990  3111  6680  7397  9144 12750 14574 18250 19432 25694 26318 27134 27737],0.5547045496416456,0.5217391304347827,38.000332832336426
[ 390 1379 3368 3758 4174 4651],0.7041349764128239,0.5454545454545454,3.904219388961792
[922],0.609937958429198,0.6666666666666666,0.9067173004150391
[ 925 2432 4501 5604 6132 6721],0.5289906456981043,0.5454545454545454,5.270014524459839
[ 563 2274],0.6332258064516129,0.5,2.8382325172424316
[ 1464  4226  5675  9586 11827 12428],0.6655684800837692,0.7272727272727273,13.487888813018799
[ 593 3524],0.738287153652393,0.5,1.759162187576294
[ 405 4271 5043 5847 6259 6878],0.747328778940534,0.6153846153846153,3.6964876651763916
[],0.5667544750721693,0.33333333333333337,0.2896616458892822
[576],0.36219898446402987,0.25,0.3994765281677246
[ 1438  2074  2793  3710  4545  8264  9628 11757 12657 13166],0.31685663351214205,0.11764705882352942,13.246804237365723
[ 1348  1801  3197  8012  8707  9151 14437 15680 16404 17005 18509 19000 20778 22403 22896],0.43068907691848185,0.45454545454545453,43.471834897994995
[  478  1149  1656  2110  2569  3192  4779  5260  5739  6417 13389 13804 14298 14766 15310 17859 21072 21719 22134 22586 23020 24636 25468],0.4136407461824848,0.4,58.659849405288696
